ticket;resposta_NPS;grupo_NPS;Nota_ConhecimentoAgente;Nota_Solucao;Nota_TempoRetorno;Nota_Facilidade;Nota_Satisfacao;cliente
19446246;10;promotor;10;10;10;10;10;TDC1KC
23029647;7;passivo;7;0;10;7;10;T07413
22690160;10;promotor;10;10;10;10;10;TFCLMQ
21667018;10;promotor;10;10;10;10;10;T55554
21566250;10;promotor;10;7;9;10;10;TEZEBG
19831776;10;promotor;10;10;10;10;10;TEXCMP
19673937;10;promotor;10;10;10;10;10;TFCQ13
19162476;6;detrator;6;6;6;6;6;TEXSQH
18986614;10;promotor;10;9;7;10;10;T02684
19229140;10;promotor;10;10;10;10;10;TB0830
21931417;10;promotor;10;10;10;10;10;TEZKFG
21124004;10;promotor;NULL;NULL;NULL;NULL;NULL;TEWLRQ
22902007;10;promotor;10;10;10;10;10;TEZEGF
20502554;10;promotor;10;10;10;10;10;TEVNVS
19860797;10;promotor;10;10;10;10;10;T50734
20083245;10;promotor;10;10;10;10;10;TFCSJ0
20454119;9;promotor;9;9;9;9;9;TFCNSQ
22459749;10;promotor;10;10;10;10;10;T11037
21517959;7;passivo;8;8;8;8;8;T19281
21408774;10;promotor;10;10;10;10;10;TEZJDA
22539310;10;promotor;10;10;10;10;10;T61585
22729360;9;promotor;9;9;9;9;9;TFDPXM
20943007;2;detrator;2;2;2;2;2;T05034
21920918;10;promotor;10;10;10;10;10;TFDGVJ
19383632;10;promotor;10;10;10;10;10;TB2980
22905697;10;promotor;10;10;10;10;10;TFCKMG
21911094;10;promotor;10;10;10;10;10;TFCODW
19886854;10;promotor;10;10;10;10;10;TFCCME
22804370;10;promotor;10;10;10;10;10;TDC1GA
22826408;10;promotor;10;10;5;7;5;TFCEK4
20409392;10;promotor;10;10;10;10;10;T13937
21290842;10;promotor;10;10;10;10;10;T00538
22823850;10;promotor;9;10;9;10;9;TAAOJH
20347053;10;promotor;10;10;10;10;10;TFDQQD
21576081;10;promotor;10;10;10;10;10;TFCRYN
19398825;0;detrator;NULL;NULL;NULL;NULL;NULL;TFCPWG
20436913;9;promotor;NULL;NULL;NULL;NULL;NULL;TDC1NV
22764687;10;promotor;9;9;9;9;9;TFCX36
21968780;10;promotor;10;10;9;10;9;TA3658
20328463;10;promotor;10;10;10;10;10;TEZKDT
